timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,Hostname,IdleTime,Connect
1602530554762,647,GeneraBTN,500,HTTP/1.1 500,BTN 1-1,text,false,,400,0,1,1,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,643,QA-CESARROJAS,0,0
1602530555415,458,CierraBTN,200,HTTP/1.1 200,BTN 1-1,text,true,,336,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,458,QA-CESARROJAS,0,0
1602530555473,588,GeneraBTN,500,HTTP/1.1 500,BTN 1-2,text,false,,400,0,1,1,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,588,QA-CESARROJAS,0,0
1602530556063,296,CierraBTN,200,HTTP/1.1 200,BTN 1-2,text,true,,336,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,296,QA-CESARROJAS,0,0
1602530556216,575,GeneraBTN,500,HTTP/1.1 500,BTN 1-3,text,false,,400,0,1,1,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,575,QA-CESARROJAS,0,0
1602530556791,431,CierraBTN,200,HTTP/1.1 200,BTN 1-3,text,true,,336,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,431,QA-CESARROJAS,0,0
1602530556919,529,GeneraBTN,500,HTTP/1.1 500,BTN 1-4,text,false,,400,0,1,1,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,529,QA-CESARROJAS,0,0
1602530557449,318,CierraBTN,200,HTTP/1.1 200,BTN 1-4,text,true,,336,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,318,QA-CESARROJAS,0,0
1602530557704,554,GeneraBTN,500,HTTP/1.1 500,BTN 1-5,text,false,,400,0,1,1,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,554,QA-CESARROJAS,0,0
1602530558259,312,CierraBTN,200,HTTP/1.1 200,BTN 1-5,text,true,,336,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,312,QA-CESARROJAS,0,0
1602530558463,628,GeneraBTN,500,HTTP/1.1 500,BTN 1-6,text,false,,400,0,1,1,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,628,QA-CESARROJAS,0,0
1602530559098,434,CierraBTN,200,HTTP/1.1 200,BTN 1-6,text,true,,336,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,434,QA-CESARROJAS,0,0
1602530559201,641,GeneraBTN,500,HTTP/1.1 500,BTN 1-7,text,false,,400,0,1,1,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,641,QA-CESARROJAS,0,0
1602530559844,388,CierraBTN,200,HTTP/1.1 200,BTN 1-7,text,true,,336,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,388,QA-CESARROJAS,0,0
1602530559889,949,GeneraBTN,500,HTTP/1.1 500,BTN 1-8,text,false,,400,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,949,QA-CESARROJAS,0,0
1602530560841,414,CierraBTN,200,HTTP/1.1 200,BTN 1-8,text,true,,336,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,414,QA-CESARROJAS,0,0
1602530560714,544,GeneraBTN,500,HTTP/1.1 500,BTN 1-9,text,false,,400,0,1,1,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,543,QA-CESARROJAS,0,0
1602530561259,299,CierraBTN,200,HTTP/1.1 200,BTN 1-9,text,true,,336,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,299,QA-CESARROJAS,0,0
1602530561418,629,GeneraBTN,500,HTTP/1.1 500,BTN 1-10,text,false,,400,0,1,1,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,629,QA-CESARROJAS,0,0
1602530562048,318,CierraBTN,200,HTTP/1.1 200,BTN 1-10,text,true,,336,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,318,QA-CESARROJAS,0,0
1602530562116,607,GeneraBTN,500,HTTP/1.1 500,BTN 1-11,text,false,,400,0,1,1,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,607,QA-CESARROJAS,0,0
1602530562724,344,CierraBTN,200,HTTP/1.1 200,BTN 1-11,text,true,,336,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,344,QA-CESARROJAS,0,0
1602530562850,646,GeneraBTN,500,HTTP/1.1 500,BTN 1-12,text,false,,400,0,1,1,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,646,QA-CESARROJAS,0,0
1602530563498,297,CierraBTN,200,HTTP/1.1 200,BTN 1-12,text,true,,336,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,297,QA-CESARROJAS,0,0
1602530563598,613,GeneraBTN,500,HTTP/1.1 500,BTN 1-13,text,false,,400,0,1,1,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,613,QA-CESARROJAS,0,0
1602530564212,310,CierraBTN,200,HTTP/1.1 200,BTN 1-13,text,true,,336,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,310,QA-CESARROJAS,0,0
1602530564303,641,GeneraBTN,500,HTTP/1.1 500,BTN 1-14,text,false,,400,0,1,1,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,641,QA-CESARROJAS,0,0
1602530564945,432,CierraBTN,200,HTTP/1.1 200,BTN 1-14,text,true,,336,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,432,QA-CESARROJAS,0,0
1602530565006,592,GeneraBTN,500,HTTP/1.1 500,BTN 1-15,text,false,,400,0,1,1,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,592,QA-CESARROJAS,0,0
1602530565601,323,CierraBTN,200,HTTP/1.1 200,BTN 1-15,text,true,,336,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,323,QA-CESARROJAS,0,0
1602530565739,595,GeneraBTN,500,HTTP/1.1 500,BTN 1-16,text,false,,400,0,1,1,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,595,QA-CESARROJAS,0,0
1602530566335,290,CierraBTN,200,HTTP/1.1 200,BTN 1-16,text,true,,336,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,290,QA-CESARROJAS,0,0
1602530566481,570,GeneraBTN,500,HTTP/1.1 500,BTN 1-17,text,false,,400,0,1,1,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,570,QA-CESARROJAS,0,0
1602530567052,320,CierraBTN,200,HTTP/1.1 200,BTN 1-17,text,true,,336,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,319,QA-CESARROJAS,0,0
1602530567230,623,GeneraBTN,500,HTTP/1.1 500,BTN 1-18,text,false,,400,0,1,1,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,623,QA-CESARROJAS,0,0
1602530567854,335,CierraBTN,200,HTTP/1.1 200,BTN 1-18,text,true,,336,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,335,QA-CESARROJAS,0,0
1602530567979,600,GeneraBTN,500,HTTP/1.1 500,BTN 1-19,text,false,,400,0,1,1,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,600,QA-CESARROJAS,0,0
1602530568580,320,CierraBTN,200,HTTP/1.1 200,BTN 1-19,text,true,,336,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,320,QA-CESARROJAS,0,0
1602530568725,579,GeneraBTN,500,HTTP/1.1 500,BTN 1-20,text,false,,400,0,1,1,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,579,QA-CESARROJAS,0,0
1602530569305,304,CierraBTN,200,HTTP/1.1 200,BTN 1-20,text,true,,336,0,1,1,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,304,QA-CESARROJAS,0,0
